ARTNR,"KATNR,C,55","BEZ,C,120",LIEFERANT,"EINHEIT,N,2,0",LIEFERANT1,"EK1,N,9,3","KATNR1,C,55",LIEFERANT2,"EK2,N,9,3","KATNR2,C,55","VGL_ARTNR,C,45","EK,N,9,3","VK,N,9,3","VK_2,N,9,3","VK1,N,9,3","VK2,N,9,3","VK3,N,9,3","VK4,N,9,3","VK1M,N,9,3","VK2M,N,9,3","VK3M,N,9,3","VK4M,N,9,3","ST1,N,4,0","ST2,N,4,0","ST3,N,4,0","ST4,N,4,0","BESTAND,N,10,3","AMIN,N,7,2","AMAX,N,7,2",GRUPPE,"ANGEBOT,L","PROV,N,5,2","EAN,N,13,0","VK_DAT,D","EINGANG,D","VON,D","BIS,D","RA,N,7,2","RAM,N,7,2","ANGWIED,L","SL,L","LF,L","VE,N,6,2","PFAND,N,6,2","MIT_PR,N,7,2","BEM,M","AUS_PLATZ,N,2,0","MWST_VK,N,2,0","MWST_MN,N,2,0","INV_BESTAN,N,9,3","INV_MUST,L","BILD,M","ZIGARETTE,L","DATENBLATT,M","KAFFEE,L","H_HOUR1,N,7,2","H_HOUR2,N,7,2","H_HOUR1M,N,7,2","H_HOUR2M,N,7,2","MWST_EK,N,2,0",KATEGOR,MY_ARTNR,"NOTVISIBLE,L","HERSTELLER,C,35","HERST_NR,C,35","SERNR,M","SAISON,C,35","FARBE,C,85","GROSSE,C,30","LANGE,C,30","GEWICHT,N,10,3","WEBSHOP,L","VK_INFO,M","INV_START,N,10,3","INV_ZAHLEN,N,10,3","INV_ENDE,N,10,3","PROV_SATZ,N,5,2","RESERVIERT,N,10,2","FRENCHSATZ,N,5,2","UVP,N,10,2",INTERNNR,"BEARBGEB,N,7,2","VK_D_VON,D","VK_D_BIS,D","BRAUCH_ET,L","U_RAB,N,5,2",VON_FIL,"AQUER,L","ISNEGATIV,L","GEBRAUCHT,L","TEILBAR,L",LAGERPLATZ,"QRCODE,M","EAN1,N,13,0","EAN2,N,13,0","PV_EINHEIT,N,1,0","PV_INHALT,N,8,3",WAGDIVISOR,"AUTOBESTEL,L","REALWARE,L","MHD,L","STAFF_TEXT,M",GRUPPE2
12,1979,Bali 350 ml Flasche,2,1,0,0,,0,0,,,2.14,3.8,3.19,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,5,,,9501191111113,09/01/2023,07/30/2011,,,0,0,FALSE,,TRUE,12,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5011,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
13,1980,Bali 500 ml Flasche,2,1,0,0,,0,0,,,2.28,4.9,4.12,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,,,9501291111112,12/07/2021,07/30/2011,,,0,0,FALSE,,TRUE,12,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5012,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
14,100934 Esprit,Zenith 200 ml Flasche,3,1,0,0,,0,0,,,1.25,3.7,3.109,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,,,9501391111111,10/19/2024,07/30/2011,,,0,0,FALSE,,TRUE,24,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5013,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
15,1869,Zenith 350 ml Flasche,2,1,0,0,,0,0,,,1.89,4.5,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,,,9501491111110,11/09/2024,07/30/2011,,,0,0,FALSE,,TRUE,24,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5014,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
16,11590 Esprit,Zenith 500 ml Flasche,3,1,0,0,,0,0,,,1.46,5.2,4.37,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,5,,,9501591111119,11/20/2024,07/30/2011,,,0,0,FALSE,,TRUE,10,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5015,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
17,10824,"Piratenflasche, 50ml, ""Totenkopf""",3,1,0,0,,0,0,,,1.08,2.6,2.185,0,0,0,0,0,0,0,0,0,0,0,0,39,2,0,5,,,9501691111118,01/25/2024,07/30/2011,,,0,0,FALSE,,TRUE,10,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5016,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
18,?,Maraska klar 250 ml Flasche,3,1,0,0,,0,0,,,0.53,2.3,1.93,0,0,0,0,0,0,0,0,0,0,0,0,91,24,0,5,,,4013149148393,12/14/2024,07/30/2011,,,0,0,FALSE,,TRUE,48,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5017,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
19,10843,Maraska antikgr³n 250 ml Flasche,3,1,0,0,,0,0,,,0.58,2.3,1.93,0,0,0,0,0,0,0,0,0,0,0,0,116,10,0,5,,,9501891111116,12/14/2024,07/30/2011,,,0,0,FALSE,,TRUE,24,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5018,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
20,11195,Maraska klar 500 ml Flasche,3,1,0,0,,0,0,,,0.62,2.5,2.101,0,0,0,0,0,0,0,0,0,0,0,0,58,5,0,5,,,4013149148652,12/14/2024,07/30/2011,,,0,0,FALSE,,TRUE,20,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5019,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
21,1925,Maraska antikgr³n 500 ml Flasche,2,1,0,0,,0,0,,,0.85,2.5,2.1,0,0,0,0,0,0,0,0,0,0,0,0,108,5,0,5,,,9502091111111,12/16/2024,07/30/2011,,,0,0,FALSE,,TRUE,20,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5020,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
22,1239,Egizia 250 ml Flasche mit Korken,2,1,0,0,,0,0,,,1.48,3.5,2.94,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,,,9502191111110,03/30/2024,07/30/2011,,,0,0,FALSE,,TRUE,24,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5021,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
23,1981N,"Flasche ""Osterei"", 100ml, leer",2,1,0,0,,0,0,,,1.9,3.8,3.19,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,5,,,9502291111119,03/26/2024,07/30/2011,,,0,0,FALSE,,TRUE,20,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5022,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
24,1378N + 2952G Schraubverschluss,"Mini Nocturne, mit Schraubverschluss, 50 ml Flasche",124,1,0,0,,0,0,,,0.82,2,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,,,9502391111118,12/18/2023,07/30/2011,,,0,0,FALSE,,TRUE,24,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5023,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
25,1207,Dama vierkantig 200 ml Flasche,2,1,0,0,,0,0,,,1.28,3.5,2.94,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,5,,,9502491111117,11/23/2024,07/30/2011,,,0,0,FALSE,,TRUE,24,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5024,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
26,1811,Mystic 250 ml Flasche,3,1,0,0,,0,0,,,2.12,5.3,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,,,9502591111116,12/15/2020,07/30/2011,,,0,0,FALSE,,TRUE,24,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5025,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
27,1345,Set Twin je 200 ml (2 Flaschen),2,1,0,0,,0,0,,,3,7.5,6.303,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,,,9502691111115,07/30/2024,07/30/2011,,,0,0,FALSE,,TRUE,10,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5026,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
