ARTNR,"KATNR,C,55","BEZ,C,120",LIEFERANT,"EINHEIT,N,2,0",LIEFERANT1,"EK1,N,9,3","KATNR1,C,55",LIEFERANT2,"EK2,N,9,3","KATNR2,C,55","VGL_ARTNR,C,45","EK,N,9,3","VK,N,9,3","VK_2,N,9,3","VK1,N,9,3","VK2,N,9,3","VK3,N,9,3","VK4,N,9,3","VK1M,N,9,3","VK2M,N,9,3","VK3M,N,9,3","VK4M,N,9,3","ST1,N,4,0","ST2,N,4,0","ST3,N,4,0","ST4,N,4,0","BESTAND,N,10,3","AMIN,N,7,2","AMAX,N,7,2",GRUPPE,"ANGEBOT,L","PROV,N,5,2","EAN,N,13,0","VK_DAT,D","EINGANG,D","VON,D","BIS,D","RA,N,7,2","RAM,N,7,2","ANGWIED,L","SL,L","LF,L","VE,N,6,2","PFAND,N,6,2","MIT_PR,N,7,2","BEM,M","AUS_PLATZ,N,2,0","MWST_VK,N,2,0","MWST_MN,N,2,0","INV_BESTAN,N,9,3","INV_MUST,L","BILD,M","ZIGARETTE,L","DATENBLATT,M","KAFFEE,L","H_HOUR1,N,7,2","H_HOUR2,N,7,2","H_HOUR1M,N,7,2","H_HOUR2M,N,7,2","MWST_EK,N,2,0",KATEGOR,MY_ARTNR,"NOTVISIBLE,L","HERSTELLER,C,35","HERST_NR,C,35","SERNR,M","SAISON,C,35","FARBE,C,85","GROSSE,C,30","LANGE,C,30","GEWICHT,N,10,3","WEBSHOP,L","VK_INFO,M","INV_START,N,10,3","INV_ZAHLEN,N,10,3","INV_ENDE,N,10,3","PROV_SATZ,N,5,2","RESERVIERT,N,10,2","FRENCHSATZ,N,5,2","UVP,N,10,2",INTERNNR,"BEARBGEB,N,7,2","VK_D_VON,D","VK_D_BIS,D","BRAUCH_ET,L","U_RAB,N,5,2",VON_FIL,"AQUER,L","ISNEGATIV,L","GEBRAUCHT,L","TEILBAR,L",LAGERPLATZ,"QRCODE,M","EAN1,N,13,0","EAN2,N,13,0","PV_EINHEIT,N,1,0","PV_INHALT,N,8,3",WAGDIVISOR,"AUTOBESTEL,L","REALWARE,L","MHD,L","STAFF_TEXT,M",GRUPPE2
614,96  (wird nur 1x  im Jahr produziert) Achtung beim Verk,"Hamburger Elbstrand Muscheln, Fruchtgummi, 100g",57,1,0,0,,0,0,,,0.523,2.6,2.43,0,0,0,0,0,0,0,0,0,0,0,0,240,2,0,11,,,5707644315839,12/12/2024,03/22/2012,,,0,0,FALSE,,TRUE,30,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,10080,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
615,100401 W,"Mandeln in Zartbitter-, Vollmilch & Joghurtschokolade, 150g",158,1,0,0,,0,0,,,2.45,6.9,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,,,4059598104016,10/29/2019,03/22/2012,,,0,0,FALSE,,TRUE,12,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,10084,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
616,7123,"Segelboot Bonsche, 70g Ananas Kokos",96,1,0,0,,0,0,,,2.6,5.9,5.51,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,11,,,4260042690690,12/07/2024,03/22/2012,,,0,0,FALSE,,TRUE,6,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,10060,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
617,7083,"Salz Karamell, Bonsche Glas 70g",96,1,0,0,,0,0,,,2.6,5.9,5.51,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,11,,,4260178340711,10/16/2024,03/22/2012,,,0,0,FALSE,,TRUE,5,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,10082,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
618,frei,frei,24,25,0,0,,0,0,,,1.29,4.5,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,9203491111113,04/16/2021,03/22/2012,,,0,0,FALSE,,TRUE,50,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,2054,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
619,430-123 HZ24,"Holzkiste, Weinverpackung, Weinkiste, Holz natur, f³r 2 Flaschen",296,1,0,0,,0,0,,,7.6,11.5,9.66,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,32,,,8291018111112,10/10/2024,04/01/2012,,,0,0,FALSE,,TRUE,1,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,29101,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,TRUE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
620,117-6W N,"Senf ""Echte Wõrme kommt von innen"", 110ml - inkl. Spende an die Hamburger Tafel",61,1,0,0,,0,0,,,3.49,7.5,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,,4260620040268,12/14/2024,04/05/2012,,,0,0,FALSE,,TRUE,6,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,11021,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
621,frei,frei,24,1,0,0,,0,0,,,2.55,6.3,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,,4260057212443,12/12/2018,04/05/2012,,,0,0,FALSE,,TRUE,1,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,11022,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
622,frei,frei,24,1,0,0,,0,0,,,2.7,6.3,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,,4260057212429,12/13/2021,04/05/2012,,,0,0,FALSE,,TRUE,1,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,11023,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
623,frei,frei,24,1,0,0,,0,0,,,2.6,6.3,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,,4260057212412,12/15/2018,04/05/2012,,,0,0,FALSE,,TRUE,1,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,11024,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
624,L 598110,"IHR Servietten Heimathafen, Anker rot",159,1,0,0,,0,0,,,1.75,4.5,3.78,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,37,,,686423600357,12/07/2024,04/12/2012,,,0,0,FALSE,,TRUE,12,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,32085,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
625,frei,frei,24,1,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,,,8231048111119,06/29/2023,04/12/2012,,,0,0,FALSE,,TRUE,12,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,23104,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
626,frei,frei,24,1,0,0,,0,0,,,1.9,4.9,4.118,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,,,8231128111114,08/26/2022,04/12/2012,,,0,0,FALSE,,TRUE,12,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,23112,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
627,E059,"Marillen Rosen Aperitif Essig, 3%,100ml",3,14,0,0,,0,0,,,0.685,3.8,3.55,0,0,0,0,0,0,0,0,0,0,0,0,76,50,0,42,,,9104291111115,12/10/2024,04/12/2012,,,0,0,FALSE,,TRUE,50,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,1042,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
628,5406,"Schwarzer Johannisbeer Aperitif Essig mit Merlot verfeinert, ohne Zuckerzusatz, 5%, 100ml",2,14,0,0,,0,0,,,1.095,4.1,3.83,0,0,0,0,0,0,0,0,0,0,0,0,32,10,0,42,,,3760170098074,12/13/2024,04/12/2012,,,0,0,FALSE,,TRUE,50,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,1043,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
629,E094 - nicht nachbestellen,"Sherry Balsam Essig 0,3% alc., 5,5 Sõure 100ml",3,25,0,0,,0,0,,,0.585,3.2,2.99,0,0,0,0,0,0,0,0,0,0,0,0,3.5,2,0,42,,,9104491111113,11/14/2024,04/12/2012,,,0,0,FALSE,,TRUE,10,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,1044,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
630,5573035,"Streuobstwiesen Balsam, 3%, 100ml",150,1,0,0,,0,0,,,0.79,3.9,3.28,0,0,0,0,0,0,0,0,0,0,0,0,64.5,0,0,42,,,9104591111112,12/07/2024,04/12/2012,,,0,0,FALSE,,TRUE,50,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,1045,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
631,5573013,Rum Traube Nuss Balsam 3% Sõure,150,25,0,0,,0,0,,,0.66,3.5,3.27,0,0,0,0,0,0,0,0,0,0,0,0,60,10,0,42,,,9104691111111,12/11/2024,04/13/2012,,,0,0,FALSE,,TRUE,50,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,1046,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
632,E097,Tomaten Balsam Fruchtessig 4% Sõure,3,25,0,0,,0,0,,,0.87,3.5,3.27,0,0,0,0,0,0,0,0,0,0,0,0,8.3,50,0,42,,,9104791111110,12/14/2024,04/13/2012,,,0,0,FALSE,,TRUE,50,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,1047,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
633,SA118 W,"Mango Chili Sauce, A Must, 250 ml",3,1,0,0,,0,0,,,3.15,6.9,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,16,,,4251228901334,11/23/2024,04/17/2012,,,0,0,FALSE,,TRUE,6,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,15003,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
634,SA113,"Knoblauch Chili Sauce, A Must, 250 ml",3,1,0,0,,0,0,,,3.15,6.9,6.45,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,16,,,4251228901280,08/07/2023,04/17/2012,,,0,0,FALSE,,TRUE,6,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,15004,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
635,79000331 W,"Chili Sauce, K³chenbuddy, 230ml",2,1,0,0,,0,0,,,3.45,8.5,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,,,4013149161033,10/29/2024,04/23/2012,,,0,0,FALSE,,TRUE,6,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,13010,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
636,301-6W N,"Senf Pauli Sauce ""Pflaume & Kakao"", 250ml",61,1,0,0,,0,0,,,4.3,9.5,8.88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,,,4260620040800,08/31/2023,04/23/2012,,,0,0,FALSE,,TRUE,6,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,13011,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
637,303-6W N,"Senf Pauli Sauce ""Paprika & Curry"", 250ml",61,1,0,0,,0,0,,,4.3,9.5,8.88,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,,,4260620040824,12/22/2023,04/23/2012,,,0,0,FALSE,,TRUE,6,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,13012,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
638,250-2W,"Senf Pauli Set ""maritim"", 2 Senfsorten im Set, Pfeffriger Peter + Pixie",61,1,0,0,,0,0,,,8.6,18.5,17.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,,4260620040282,09/27/2024,04/23/2012,,,0,0,FALSE,,TRUE,8,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,11060,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
639,0012661,"Serviette ""Von Liebe allein wird auch..."", 33x33",18,1,0,0,,0,0,,,1.8,4.5,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,37,,,4045289126610,07/13/2024,04/26/2012,,,0,0,FALSE,,TRUE,6,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,32001,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
640,0015165,"Serviette ""Da haben wir den Salat"", 33x33cm",18,1,0,0,,0,0,,,1.8,4.5,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,37,,,4045289151650,11/11/2024,04/26/2012,,,0,0,FALSE,,TRUE,6,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,32002,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
641,"Edelbrand, Williams Christ Birnenbrand","Edelbrand, Williams Christ Birnenbrand, Jg. 2017, Bio",235,1,0,0,,0,0,,,7.9,18.9,15.882,0,0,0,0,0,0,0,0,0,0,0,0,74.5,2,0,3,,,8318981111113,05/15/2024,04/26/2012,,,0,0,FALSE,,TRUE,1,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,3189,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
642,frei,"Edelbrand, Muskateller Birne, Jg. 2013",235,1,0,0,,0,0,,,6.4,18.9,15.88,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,,,4018077117015,12/15/2023,04/26/2012,,,0,0,FALSE,,TRUE,1,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,3190,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
643,6336,"Original Hollõndische Pfeffern³sse, 250g",314,1,0,0,,0,0,,,2.03,4.6,4.3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,11,,,8711513636878,12/09/2024,05/12/2012,,,0,0,FALSE,,TRUE,15,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,10355,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
644,frei,frei,24,1,0,0,,0,0,,,2.19,4.9,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,,,9006403024477,12/10/2022,05/12/2012,,,0,0,FALSE,,TRUE,5,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,10376,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
645,30000,Kokos Ananas Sahnelik÷r mit Rum 15% alc. vol.,149,25,0,0,,0,0,,,0.99,3.5,2.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,8403581111110,10/08/2021,05/12/2012,,,0,0,FALSE,,TRUE,1,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,4035,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
646,E132,Dattel Speck Crema 3%,3,25,0,0,,0,0,,,0.84,3.5,3.27,0,0,0,0,0,0,0,0,0,0,0,0,13.1,50,0,42,,,9104891111119,12/16/2024,06/09/2012,,,0,0,FALSE,,TRUE,50,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,1048,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
647,Zuzahlung,Zuzahlung Online Bestellung,24,1,0,0,,0,0,,,8.25,17.5,14.71,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,42,,,8104981111112,02/07/2024,06/21/2012,,,0,0,FALSE,,TRUE,140,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,1049,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
648,frei,frei,24,1,0,0,,0,0,,,2.19,4.9,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,,,9006403045397,10/28/2022,06/22/2012,,,0,0,FALSE,,TRUE,1,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,10373,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
649,Marshmallow Zitronen-/ Orangenscheiben,"Marshmallow, Zitronen-und Orangenspalten ""Zitronenjette"" 50g",271,1,0,0,,0,0,,,0.399,1.8,1.68,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,11,,,9005392100735,05/04/2024,06/22/2012,,,0,0,FALSE,,TRUE,1,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,10099,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
650,10071 W,Cranberries in Joghurtschokolade,158,1,0,0,,0,0,,,2.05,5.8,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,,,4059598100711,12/19/2019,06/22/2012,,,0,0,FALSE,,TRUE,1,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,10100,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
651,frei,frei,24,1,0,0,,0,0,,,0.58,2.5,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,,,4001527188628,10/16/2021,06/22/2012,,,0,0,FALSE,,TRUE,18,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,10380,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
652,frei,frei,24,1,0,0,,0,0,,,2.19,4.9,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,,,9006403024507,09/26/2022,06/22/2012,,,0,0,FALSE,,TRUE,10,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,10369,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
653,Pancake,"Vermont Blueberry Pancake, Backmischung, 250ml",168,1,0,0,,0,0,,,4.8,10.5,9.81,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,38,,,4260531921823,10/21/2024,06/22/2012,,,0,0,FALSE,,TRUE,6,0,0,,,2,2,,FALSE,,,,,0,0,0,0,2,0,33000,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
654,5379,Kit Ó tarte vorgebackener Kuchen,5,1,0,0,,0,0,,,4.15,8.9,8.32,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,38,,,3481716110103,07/13/2012,06/22/2012,,,0,0,FALSE,,TRUE,1,0,0,,,2,1,,FALSE,,,,,0,0,0,0,2,0,33001,TRUE,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
655,7512,"Dos Mil Desset, Magnum Cava Reserva, Brut Nature,",300,1,0,0,,0,0,,,34.9,82.5,69.33,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18,,,8437014482096,08/04/2017,06/22/2012,,,0,0,FALSE,,TRUE,1,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,17003,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
656,Hafen-Spezerei Geschenkt³te,Hafen-Spezerei Geschenkt³te,24,1,0,0,,0,0,,,0.8,1,0.84,0,0,0,0,0,0,0,0,0,0,0,0,-330,0,0,32,,,9290269111116,12/16/2024,06/26/2012,,,0,0,FALSE,,TRUE,1,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,29026,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,FALSE,0,,,,,,1,FALSE,TRUE,,,0
657,G007,"Grappa di Moscato Invecchiata, 100ml",3,25,0,0,,0,0,,,1.815,5.9,4.96,0,0,0,0,0,0,0,0,0,0,0,0,35,20,0,3,,,9305191111117,12/14/2024,07/12/2012,,,0,0,FALSE,,TRUE,50,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,3051,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
658,5581068 - NICHT NACHBESTELLEN,Zitronen Lik÷r mit Grappa 30% alc. vol.,150,25,0,0,,0,0,,,1.02,4.2,3.53,0,0,0,0,0,0,0,0,0,0,0,0,28,7,0,4,,,9403691111115,12/07/2024,07/12/2012,,,0,0,FALSE,,TRUE,1,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,4036,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
659,45500,"Pflaumenlik÷r mit Zimtbl³te 18%, 100ml",149,25,0,0,,0,0,,,1.05,3.8,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,9403791111114,11/06/2023,07/12/2012,,,0,0,FALSE,,TRUE,1,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,4037,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
660,Mirativo,"Mirativo Aperitif Lik÷r, 18%, 700ml",244,25,0,0,,0,0,,,18.6,32.5,27.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,4260732930204,11/25/2024,07/12/2012,,,0,0,FALSE,,TRUE,6,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,4038,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
661,45100,Schoko Kirsch Lik÷r 20% alc. vol.,149,25,0,0,,0,0,,,1.05,3.8,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,9403991111112,07/07/2023,07/12/2012,,,0,0,FALSE,,TRUE,1,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,4039,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,7,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
662,20457,"20457 Gin NAVY STRENGTH, 57%, 50ml",244,14,0,0,,0,0,,,4.7,8.5,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,4270000659881,12/30/2022,07/20/2012,,,0,0,FALSE,,TRUE,1,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,3052,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
663,88810705,Zahl 85 Tulpiano 500ml mundgeblasehen,47,1,0,0,,0,0,,,15.9,38,31.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,9506591111114,11/01/2017,07/26/2012,,,0,0,FALSE,,TRUE,1,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,5065,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
664,L067,"CafÚ Royal Lik÷r, 30% alc.",3,25,0,0,,0,0,,,1.46,4.9,4.12,0,0,0,0,0,0,0,0,0,0,0,0,246,100,0,4,,,8404081111112,12/16/2024,07/27/2012,,,0,0,FALSE,,TRUE,50,0,0,,,1,1,,FALSE,,,,,0,0,0,0,1,0,4040,,,,,,,,,0,FALSE,,0,0,0,,,,0,0,0,,,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,0,,,,,,1,FALSE,TRUE,,,0
